fecha,tmed,prec,tmin,tmax,hrMedia,hrMax,hrMin,velmedia,sol
2020-01-01,"9,2","0,0","4,9","13,4",76,87,61,"2,5","4,9"
2020-01-02,"9,4","0,0","4,1","14,7",76,88,60,"4,7","1,5"
2020-01-03,"7,8","0,0","4,5","11,0",72,88,61,"5,8","1,6"
2020-01-04,"9,4","0,0","3,9","14,8",63,80,49,"5,0","5,3"
2020-01-05,"10,0","0,0","4,9","15,1",65,87,40,"5,0","5,5"
2020-01-06,"10,0","0,0","4,1","16,0",73,89,56,"2,2","5,4"
2020-01-07,"10,0","0,0","4,6","15,3",73,87,52,"3,9","5,4"
2020-01-08,"10,7","0,0","4,7","16,7",74,94,55,"2,5","5,3"
2020-01-09,"10,2","4,9","5,7","14,7",81,93,71,"4,7","5,5"
2020-01-10,"9,6","16,2","6,8","12,5",90,98,78,"3,3","0,0"
2020-01-11,"8,2","0,0","4,2","12,3",72,88,53,"4,4","5,7"
2020-01-12,"8,6","0,0","2,4","14,7",71,87,43,"3,3","5,8"
2020-01-13,"7,9","0,0","2,9","12,9",69,88,44,"4,2","5,0"
2020-01-14,"8,6","0,0","2,7","14,4",70,89,43,"4,2","5,9"
2020-01-15,"8,8","0,0","3,2","14,3",69,89,43,"5,0","5,1"
2020-01-16,"9,8","0,0","4,8","14,8",79,92,56,"4,2","5,8"
2020-01-17,"13,0","0,0","6,9","19,0",60,97,33,"3,6","5,7"
2020-01-18,"11,0","0,2","7,2","14,7",61,82,36,"5,6","3,8"
2020-01-19,"10,9","0,0","9,3","12,5",43,93,21,"12,5","0,0"
2020-01-20,"9,4","54,1","7,3","11,4",62,98,26,"16,7","0,5"
2020-01-21,"10,2","87,9","7,6","12,8",96,100,87,"18,9","0,0"
2020-01-22,"12,4","10,4","10,0","14,9",91,100,88,"8,1","0,0"
2020-01-23,"11,6","0,1","8,5","14,7",85,96,64,"2,8","4,0"
2020-01-24,"10,8","0,0","6,2","15,4",81,91,62,"4,2","5,4"
2020-01-25,"11,0","0,0","7,8","14,3",82,91,70,"3,3","0,9"
2020-01-26,"12,8","0,0","8,2","17,4",75,91,60,"3,3","6,0"
2020-01-27,"10,8","0,0","6,1","15,4",68,91,44,"3,6","4,4"
2020-01-28,"13,9","0,0","10,1","17,7",65,82,54,"7,2","0,2"
